Course Code,Section Code,Instructor,Comment Type,Comment Text
IST3005,A,"Afundi, Patrick",Suggestions,nil
IST3005,A,"Afundi, Patrick",Suggestions,none
IST3005,A,"Afundi, Patrick",Suggestions,More exercises
IST3005,A,"Afundi, Patrick",Suggestions,Good
IST3005,A,"Afundi, Patrick",Suggestions,Good
IST3005,A,"Afundi, Patrick",Suggestions,None
IST3005,A,"Afundi, Patrick",Suggestions,NONE
IST3005,A,"Afundi, Patrick",Suggestions,None
IST3005,A,"Afundi, Patrick",Suggestions,good
IST3005,A,"Afundi, Patrick",Suggestions,Uploading material on blackboard so students can use it as a guide when studying outside class
IST3005,A,"Afundi, Patrick",Suggestions,Comment on your evaluation of the lecturers
IST3005,A,"Afundi, Patrick",Feedback Evaluation,"the feedback on assignments, quizzes and n/a"
IST3005,A,"Afundi, Patrick",Feedback Evaluation,exams
IST3005,A,"Afundi, Patrick",Feedback Evaluation,Excellent
IST3005,A,"Afundi, Patrick",Feedback Evaluation,Good
IST3005,A,"Afundi, Patrick",Feedback Evaluation,fair
IST3005,A,"Afundi, Patrick",Feedback Evaluation,good
IST3005,A,"Afundi, Patrick",Feedback Evaluation,always give back quizzes and assignments
IST3005,A,"Afundi, Patrick",Feedback Evaluation,None
IST3005,A,"Afundi, Patrick",Feedback Evaluation,satisfactory
IST3005,A,"Afundi, Patrick",Feedback Evaluation,GOOD
IST3005,A,"Afundi, Patrick",Feedback Evaluation,None
IST3005,A,"Afundi, Patrick",Feedback Evaluation,good
IST3005,A,"Afundi, Patrick",Feedback Evaluation,Was fine
IST3005,A,"Afundi, Patrick",Feedback Evaluation,They were okay
IST3005,A,"Afundi, Patrick",Feedback Evaluation,Appropriate
IST3005,A,"Afundi, Patrick",Feedback Evaluation,Good
IST3005,A,"Afundi, Patrick",Feedback Evaluation,hard but fair
IST3005,A,"Afundi, Patrick",Feedback Evaluation,There was no evaluation of feedback on any assignments
IST3005,A,"Afundi, Patrick",Feedback Evaluation,Poor
IST3005,A,"Afundi, Patrick",Feedback Evaluation,okay
IST3005,A,"Afundi, Patrick",Feedback Evaluation,good feedback
IST3005,A,"Afundi, Patrick",Course Text,Explain your evaluation of the course text. Unused
IST3005,A,"Afundi, Patrick",Course Text,WELL DONE
IST3005,A,"Afundi, Patrick",Course Text,amazing
IST3005,A,"Afundi, Patrick",Course Text,good
IST3005,A,"Afundi, Patrick",Course Text,"There was no course text used, and the fact that it was still being refereed to made things confusing"
IST3005,A,"Afundi, Patrick",Course Text,Good
IST3005,A,"Afundi, Patrick",Course Text,nil
IST3005,A,"Afundi, Patrick",Course Text,good
IST3005,A,"Afundi, Patrick",Course Text,None
IST3005,A,"Afundi, Patrick",Course Text,good
IST3005,A,"Afundi, Patrick",Course Text,None
IST3005,A,"Afundi, Patrick",Course Text,good
IST3005,A,"Afundi, Patrick",Course Text,Good
IST3005,A,"Afundi, Patrick",Course Text,Good
IST3005,A,"Afundi, Patrick",Course Text,good
IST3005,A,"Afundi, Patrick",Course Text,great
IST3005,A,"Afundi, Patrick",Course Text,alright
IST3005,A,"Afundi, Patrick",Course Text,Good
IST3005,A,"Afundi, Patrick",Course Text,helpful
IST3005,A,"Afundi, Patrick",Course Text,There is no course text
IST3005,A,"Afundi, Patrick",Resources,"What other materials or resources, if any,"
IST3005,A,"Afundi, Patrick",Resources,should be added to support your learning?
IST3005,A,"Afundi, Patrick",Resources,none
IST3005,A,"Afundi, Patrick",Resources,none
IST3005,A,"Afundi, Patrick",Resources,NONE
IST3005,A,"Afundi, Patrick",Resources,None
IST3005,A,"Afundi, Patrick",Resources,None
IST3005,A,"Afundi, Patrick",Resources,nil
IST3005,A,"Afundi, Patrick",Resources,Videos to explain more complicated and visual points
IST3005,A,"Afundi, Patrick",Resources,great
IST3005,A,"Afundi, Patrick",Resources,None
IST3005,A,"Afundi, Patrick",Resources,Excellent
IST3005,A,"Afundi, Patrick",Resources,More social media
IST3005,A,"Afundi, Patrick",Resources,good
IST3005,A,"Afundi, Patrick",Resources,none
IST3005,A,"Afundi, Patrick",Resources,videos
IST3005,A,"Afundi, Patrick",Resources,None
IST3005,A,"Afundi, Patrick",Overall,My overall evaluation of the lecturer is. Cheerfull and hardworker
IST3005,A,"Afundi, Patrick",Overall,good
IST3005,A,"Afundi, Patrick",Overall,good
IST3005,A,"Afundi, Patrick",Overall,Good
IST3005,A,"Afundi, Patrick",Overall,Good
IST3005,A,"Afundi, Patrick",Overall,great
IST3005,A,"Afundi, Patrick",Overall,Excellent
IST3005,A,"Afundi, Patrick",Overall,Good
IST3005,A,"Afundi, Patrick",Overall,good
IST3005,A,"Afundi, Patrick",Overall,Good
IST3005,A,"Afundi, Patrick",Overall,alright
IST3005,A,"Afundi, Patrick",Course Text,Classes are good but if there is no course text and blackboard is being underutilized then studying outside class become
IST3005,A,"Afundi, Patrick",Course Text,difficult
IST3005,A,"Afundi, Patrick",Course Text,Interesting
IST3005,A,"Afundi, Patrick",Course Text,Good
IST3005,A,"Afundi, Patrick",Course Text,Good
IST3005,A,"Afundi, Patrick",Course Text,excellent
IST3005,A,"Afundi, Patrick",Course Text,nil
IST3005,A,"Afundi, Patrick",Course Text,Good
IST3005,A,"Afundi, Patrick",Course Text,Excellent
IST3005,A,"Afundi, Patrick",Course Text,GOOD
IST3005,A,"Afundi, Patrick",Course Text,He is positive and teaches well
IST3005,A,"Afundi, Patrick",Course Text,a well informed lecturer
IST2040,B,"Afundi, Patrick",Course Text,"Afundi, Patrick Summer Semester 2019 (UNDG)"
IST2040,B,"Afundi, Patrick",Course Text,Satisfact Below Dept All
IST2040,B,"Afundi, Patrick",Course Text,The course activities were related to the 6 8 0 0 0 14
IST2040,B,"Afundi, Patrick",Course Text,The lecturer was well prepared for class. 4.50 4.42 4.50
IST2040,B,"Afundi, Patrick",Course Text,The lecturer used a variety of teaching 7 7 0 0 0 14
IST2040,B,"Afundi, Patrick",Course Text,The lecturer was open to diverse view points 8 5 1 0 0 14
IST2040,B,"Afundi, Patrick",Course Text,The lecturer explained clearly how students 8 5 1 0 0 14
IST2040,B,"Afundi, Patrick",Course Text,The lecturer was readily available for
IST2040,B,"Afundi, Patrick",Course Text,consultation with the students during stated 4.50 4.38 4.46
IST2040,B,"Afundi, Patrick",Course Text,hours or by appointment.
IST2040,B,"Afundi, Patrick",Course Text,Assessments were adequate and relevant to 6 8 0 0 0 14
IST2040,B,"Afundi, Patrick",Course Text,The Lecturer made meaningful feedback on 8 6 0 0 0 14
IST2040,B,"Afundi, Patrick",Course Text,The lecturer came to class on time and 7 6 1 0 0 14
IST2040,B,"Afundi, Patrick",Course Text,The lecturer made adequate & appropriate 8 6 0 0 0 14
IST2040,B,"Afundi, Patrick",Course Text,My rating of the course text for this course 8 6 0 0 0 14
IST2040,B,"Afundi, Patrick",Course Text,The lecturer attended all the class sessions. 4.50 4.41 4.48
IST2040,B,"Afundi, Patrick",Course Text,evaluation and discussed the results in class. 57.1% 42.9% 0.0% 0.0% 0.0% 100.0%
IST2040,B,"Afundi, Patrick",Course Text,The course materials availed on Blackboard 8 6 0 0 0 14
IST2040,B,"Afundi, Patrick",Course Text,COURSE EVALUATION
IST2040,B,"Afundi, Patrick",Course Text,Most of
IST2040,B,"Afundi, Patrick",Course Text,Sometim Dept All
IST2040,B,"Afundi, Patrick",Course Text,Times
IST2040,B,"Afundi, Patrick",Course Text,I attended classes 3.79 3.65 3.63
IST2040,B,"Afundi, Patrick",Course Text,I was punctual for this class 3.86 3.68 3.65
IST2040,B,"Afundi, Patrick",Course Text,I completed and submitted my assignments 11 3 0 0 14
IST2040,B,"Afundi, Patrick",Course Text,I participated in classroom discussions and 12 2 0 0 14
IST2040,B,"Afundi, Patrick",Course Text,STUDENT SELF EVALUATION
IST2040,B,"Afundi, Patrick",Course Text,15+ 12-14 9-11 7-8 4 -6 1-3 Dept All
IST2040,B,"Afundi, Patrick",Course Text,How much time outside class did you spend
IST2040,B,"Afundi, Patrick",Course Text,on assignment or reading for this course 3.36 3.09 3.11
IST2040,B,"Afundi, Patrick",Course Text,per week?
IST2040,B,"Afundi, Patrick",Course Text,STUDENT SELF EVAL 2
IST2040,B,"Afundi, Patrick",Course Text,Dept All
IST2040,B,"Afundi, Patrick",Course Text,"For this course, I expect to receive a grade 12 1 1 0 0 14"
IST2040,B,"Afundi, Patrick",Course Text,STUDENT SELF EVAL 3
IST2040,B,"Afundi, Patrick",Course Text,Comments
IST2040,B,"Afundi, Patrick",Course Text,Your lecturer would like to know which
IST2040,B,"Afundi, Patrick",Strengths,aspects of his/her teaching you enjoyed most a l l
IST2040,B,"Afundi, Patrick",Strengths,and why.
IST2040,B,"Afundi, Patrick",Strengths,Good Timing
IST2040,B,"Afundi, Patrick",Strengths,hands on application of IT programs and systems
IST2040,B,"Afundi, Patrick",Strengths,All areas were relevant to my area of study
IST2040,B,"Afundi, Patrick",Strengths,Everything
IST2040,B,"Afundi, Patrick",Strengths,All
IST2040,B,"Afundi, Patrick",Strengths,OPEN WITH STUDENTS
IST2040,B,"Afundi, Patrick",Strengths,All
IST2040,B,"Afundi, Patrick",Strengths,teaching method
IST2040,B,"Afundi, Patrick",Strengths,The practical classes
IST2040,B,"Afundi, Patrick",Strengths,Everything
IST2040,B,"Afundi, Patrick",Strengths,Good
IST2040,B,"Afundi, Patrick",Strengths,Your lecturer would like to know which
IST2040,B,"Afundi, Patrick",Weaknesses,aspects of his/her teaching you didn't like and None
IST2040,B,"Afundi, Patrick",Weaknesses,why
IST2040,B,"Afundi, Patrick",Weaknesses,None
IST2040,B,"Afundi, Patrick",Weaknesses,Good
IST2040,B,"Afundi, Patrick",Weaknesses,None
IST2040,B,"Afundi, Patrick",Weaknesses,None
IST2040,B,"Afundi, Patrick",Weaknesses,None
IST2040,B,"Afundi, Patrick",Weaknesses,zero
IST2040,B,"Afundi, Patrick",Weaknesses,None
IST2040,B,"Afundi, Patrick",Weaknesses,Nothing
IST2040,B,"Afundi, Patrick",Weaknesses,none
IST2040,B,"Afundi, Patrick",Weaknesses,starting class late sometimes
IST2040,B,"Afundi, Patrick",Weaknesses,Your lecturer would also like to know what
IST2040,B,"Afundi, Patrick",Weaknesses,specific things you believe might be done to .
IST2040,B,"Afundi, Patrick",Suggestions,improve his/her teaching in this course.
IST2040,B,"Afundi, Patrick",Suggestions,"None, it was very good"
IST2040,B,"Afundi, Patrick",Suggestions,None at the moment
IST2040,B,"Afundi, Patrick",Suggestions,None
IST2040,B,"Afundi, Patrick",Suggestions,none
IST2040,B,"Afundi, Patrick",Suggestions,tutorials
IST2040,B,"Afundi, Patrick",Suggestions,None
IST2040,B,"Afundi, Patrick",Suggestions,Good
IST2040,B,"Afundi, Patrick",Suggestions,None
IST2040,B,"Afundi, Patrick",Suggestions,quizzes
IST2040,B,"Afundi, Patrick",Suggestions,None
IST2040,B,"Afundi, Patrick",Suggestions,Comment on your evaluation of the lecturers
IST2040,B,"Afundi, Patrick",Feedback Evaluation,"the feedback on assignments, quizzes and Fair but bulky"
IST2040,B,"Afundi, Patrick",Feedback Evaluation,exams
IST2040,B,"Afundi, Patrick",Feedback Evaluation,Good
IST2040,B,"Afundi, Patrick",Feedback Evaluation,Fair
IST2040,B,"Afundi, Patrick",Feedback Evaluation,perfect
IST2040,B,"Afundi, Patrick",Feedback Evaluation,excellent
IST2040,B,"Afundi, Patrick",Feedback Evaluation,Great
IST2040,B,"Afundi, Patrick",Feedback Evaluation,Good
IST2040,B,"Afundi, Patrick",Feedback Evaluation,Good
IST2040,B,"Afundi, Patrick",Feedback Evaluation,Good
IST2040,B,"Afundi, Patrick",Feedback Evaluation,Excellent
IST2040,B,"Afundi, Patrick",Feedback Evaluation,GOOD
IST2040,B,"Afundi, Patrick",Feedback Evaluation,fair
IST2040,B,"Afundi, Patrick",Course Text,Explain your evaluation of the course text. Applicable
IST2040,B,"Afundi, Patrick",Course Text,Excellent and updated
IST2040,B,"Afundi, Patrick",Course Text,Good
IST2040,B,"Afundi, Patrick",Course Text,Good
IST2040,B,"Afundi, Patrick",Course Text,Fair
IST2040,B,"Afundi, Patrick",Course Text,Good
IST2040,B,"Afundi, Patrick",Course Text,Good
IST2040,B,"Afundi, Patrick",Course Text,Good content
IST2040,B,"Afundi, Patrick",Course Text,quiet good
IST2040,B,"Afundi, Patrick",Resources,"What other materials or resources, if any,"
IST2040,B,"Afundi, Patrick",Resources,Books on lab exercises
IST2040,B,"Afundi, Patrick",Resources,should be added to support your learning?
IST2040,B,"Afundi, Patrick",Resources,Everything is okay
IST2040,B,"Afundi, Patrick",Resources,More practical
IST2040,B,"Afundi, Patrick",Resources,none
IST2040,B,"Afundi, Patrick",Resources,None
IST2040,B,"Afundi, Patrick",Resources,Good
IST2040,B,"Afundi, Patrick",Resources,assessments in class
IST2040,B,"Afundi, Patrick",Resources,None
IST2040,B,"Afundi, Patrick",Resources,tutorials
IST2040,B,"Afundi, Patrick",Overall,My overall evaluation of the lecturer is. good
IST2040,B,"Afundi, Patrick",Overall,Very good
IST2040,B,"Afundi, Patrick",Overall,Good
IST2040,B,"Afundi, Patrick",Overall,Great
IST2040,B,"Afundi, Patrick",Overall,GOOD
IST2040,B,"Afundi, Patrick",Overall,Excellent
IST2040,B,"Afundi, Patrick",Overall,Excellent
IST2040,B,"Afundi, Patrick",Overall,Excellent and well informed
IST2040,B,"Afundi, Patrick",Overall,Good lecturer
IST2040,B,"Afundi, Patrick",Overall,good
IST2040,B,"Afundi, Patrick",Overall,Good
IST2040,B,"Afundi, Patrick",Overall,Fair
APT1040,A,"Afundi, Patrick",Overall,Satisfact Below Dept All
APT1040,A,"Afundi, Patrick",Overall,The course activities were related to the 18 16 1 2 1 38
APT1040,A,"Afundi, Patrick",Overall,The lecturer was well prepared for class. 4.16 4.42 4.50
APT1040,A,"Afundi, Patrick",Overall,The lecturer used a variety of teaching 17 11 7 2 1 38
APT1040,A,"Afundi, Patrick",Overall,The lecturer was open to diverse view points 19 12 4 2 1 38
APT1040,A,"Afundi, Patrick",Overall,The lecturer explained clearly how students 18 10 7 2 1 38
APT1040,A,"Afundi, Patrick",Overall,The lecturer was readily available for
APT1040,A,"Afundi, Patrick",Overall,consultation with the students during stated 4.05 4.39 4.46
APT1040,A,"Afundi, Patrick",Overall,hours or by appointment.
APT1040,A,"Afundi, Patrick",Overall,Assessments were adequate and relevant to 18 12 5 2 1 38
APT1040,A,"Afundi, Patrick",Overall,The Lecturer made meaningful feedback on 15 13 6 2 2 38
APT1040,A,"Afundi, Patrick",Overall,The lecturer came to class on time and 16 12 6 3 1 38
APT1040,A,"Afundi, Patrick",Overall,The lecturer made adequate & appropriate 15 13 7 2 1 38
APT1040,A,"Afundi, Patrick",Course Text,My rating of the course text for this course 19 10 5 2 2 38
APT1040,A,"Afundi, Patrick",Course Text,The lecturer attended all the class sessions. 4.21 4.40 4.48
APT1040,A,"Afundi, Patrick",Course Text,evaluation and discussed the results in class. 50.0% 23.7% 13.2% 5.3% 7.9% 100.0%
APT1040,A,"Afundi, Patrick",Course Text,The course materials availed on Blackboard 18 12 5 2 1 38
APT1040,A,"Afundi, Patrick",Course Text,COURSE EVALUATION
APT1040,A,"Afundi, Patrick",Course Text,Most of
APT1040,A,"Afundi, Patrick",Course Text,Sometim Dept All
APT1040,A,"Afundi, Patrick",Course Text,Times
APT1040,A,"Afundi, Patrick",Course Text,I attended classes 3.76 3.64 3.63
APT1040,A,"Afundi, Patrick",Course Text,I was punctual for this class 3.71 3.63 3.65
APT1040,A,"Afundi, Patrick",Course Text,I completed and submitted my assignments 29 8 1 0 38
APT1040,A,"Afundi, Patrick",Course Text,I participated in classroom discussions and 29 8 1 0 38
APT1040,A,"Afundi, Patrick",Course Text,STUDENT SELF EVALUATION
APT1040,A,"Afundi, Patrick",Course Text,15+ 12-14 9-11 7-8 4 -6 1-3 Dept All
APT1040,A,"Afundi, Patrick",Course Text,How much time outside class did you spend
APT1040,A,"Afundi, Patrick",Course Text,on assignment or reading for this course 3.11 3.15 3.11
APT1040,A,"Afundi, Patrick",Course Text,per week?
APT1040,A,"Afundi, Patrick",Course Text,STUDENT SELF EVAL 2
APT1040,A,"Afundi, Patrick",Course Text,Dept All
APT1040,A,"Afundi, Patrick",Course Text,"For this course, I expect to receive a grade 25 12 1 0 0 38"
APT1040,A,"Afundi, Patrick",Course Text,STUDENT SELF EVAL 3
APT1040,A,"Afundi, Patrick",Course Text,Comments
APT1040,A,"Afundi, Patrick",Course Text,Your lecturer would like to know which
APT1040,A,"Afundi, Patrick",Strengths,aspects of his/her teaching you enjoyed most n / a
APT1040,A,"Afundi, Patrick",Strengths,and why.
APT1040,A,"Afundi, Patrick",Strengths,practical exercises
APT1040,A,"Afundi, Patrick",Strengths,a lot of practical assignments
APT1040,A,"Afundi, Patrick",Strengths,Uses simple to understand examples while teaching
APT1040,A,"Afundi, Patrick",Strengths,all lessons
APT1040,A,"Afundi, Patrick",Strengths,Engagement
APT1040,A,"Afundi, Patrick",Strengths,None
APT1040,A,"Afundi, Patrick",Strengths,Practice
APT1040,A,"Afundi, Patrick",Strengths,good
APT1040,A,"Afundi, Patrick",Strengths,Teaching by interaction
APT1040,A,"Afundi, Patrick",Strengths,assignments
APT1040,A,"Afundi, Patrick",Strengths,Frequent exericises
APT1040,A,"Afundi, Patrick",Strengths,the lectures
APT1040,A,"Afundi, Patrick",Strengths,all
APT1040,A,"Afundi, Patrick",Strengths,good
APT1040,A,"Afundi, Patrick",Strengths,practicals
APT1040,A,"Afundi, Patrick",Strengths,Lab tutorials which were helpful
APT1040,A,"Afundi, Patrick",Strengths,Interesting content
APT1040,A,"Afundi, Patrick",Strengths,Assignments/practicals
APT1040,A,"Afundi, Patrick",Strengths,good
APT1040,A,"Afundi, Patrick",Strengths,GOOD
APT1040,A,"Afundi, Patrick",Strengths,The use of real life examples and the teaching methodology makes the class very interesting and fun.
APT1040,A,"Afundi, Patrick",Strengths,css
APT1040,A,"Afundi, Patrick",Strengths,None
APT1040,A,"Afundi, Patrick",Strengths,PowerPoints
APT1040,A,"Afundi, Patrick",Strengths,Your lecturer would like to know which
APT1040,A,"Afundi, Patrick",Weaknesses,aspects of his/her teaching you didn't like and N/A
APT1040,A,"Afundi, Patrick",Weaknesses,why
APT1040,A,"Afundi, Patrick",Weaknesses,None
APT1040,A,"Afundi, Patrick",Weaknesses,the way notes are explained
APT1040,A,"Afundi, Patrick",Weaknesses,GOOD
APT1040,A,"Afundi, Patrick",Weaknesses,All
APT1040,A,"Afundi, Patrick",Weaknesses,Everything about the lecturer is shit
APT1040,A,"Afundi, Patrick",Weaknesses,None
APT1040,A,"Afundi, Patrick",Weaknesses,none
APT1040,A,"Afundi, Patrick",Weaknesses,Coding during sessions
APT1040,A,"Afundi, Patrick",Weaknesses,good
APT1040,A,"Afundi, Patrick",Weaknesses,good
APT1040,A,"Afundi, Patrick",Weaknesses,None
APT1040,A,"Afundi, Patrick",Weaknesses,none
APT1040,A,"Afundi, Patrick",Weaknesses,none
APT1040,A,"Afundi, Patrick",Weaknesses,None
APT1040,A,"Afundi, Patrick",Weaknesses,everything
APT1040,A,"Afundi, Patrick",Weaknesses,None
APT1040,A,"Afundi, Patrick",Weaknesses,good
APT1040,A,"Afundi, Patrick",Weaknesses,None
APT1040,A,"Afundi, Patrick",Weaknesses,none
APT1040,A,"Afundi, Patrick",Weaknesses,None
APT1040,A,"Afundi, Patrick",Weaknesses,None
APT1040,A,"Afundi, Patrick",Weaknesses,Your lecturer would also like to know what
APT1040,A,"Afundi, Patrick",Weaknesses,specific things you believe might be done to good
APT1040,A,"Afundi, Patrick",Suggestions,improve his/her teaching in this course.
APT1040,A,"Afundi, Patrick",Suggestions,Teach more things in the span of 14 weeks
APT1040,A,"Afundi, Patrick",Suggestions,good
APT1040,A,"Afundi, Patrick",Suggestions,nothing
APT1040,A,"Afundi, Patrick",Suggestions,none
APT1040,A,"Afundi, Patrick",Suggestions,None
APT1040,A,"Afundi, Patrick",Suggestions,good
APT1040,A,"Afundi, Patrick",Suggestions,None
APT1040,A,"Afundi, Patrick",Suggestions,Non
APT1040,A,"Afundi, Patrick",Suggestions,A more one on one assessment in the following coding languages instead of just letting us figure it out ourselves.
APT1040,A,"Afundi, Patrick",Suggestions,add more group work team
APT1040,A,"Afundi, Patrick",Suggestions,Everything
APT1040,A,"Afundi, Patrick",Suggestions,The lecturer is such shit that he should just resign
APT1040,A,"Afundi, Patrick",Suggestions,Additionational quizzes
APT1040,A,"Afundi, Patrick",Suggestions,improve on explanation of notes
APT1040,A,"Afundi, Patrick",Suggestions,everything
APT1040,A,"Afundi, Patrick",Suggestions,More exercises
APT1040,A,"Afundi, Patrick",Suggestions,None
APT1040,A,"Afundi, Patrick",Suggestions,none
APT1040,A,"Afundi, Patrick",Suggestions,GOOD
APT1040,A,"Afundi, Patrick",Suggestions,More quizzes
APT1040,A,"Afundi, Patrick",Suggestions,none
APT1040,A,"Afundi, Patrick",Suggestions,Comment on your evaluation of the lecturers
APT1040,A,"Afundi, Patrick",Feedback Evaluation,"the feedback on assignments, quizzes and Good"
APT1040,A,"Afundi, Patrick",Feedback Evaluation,exams
APT1040,A,"Afundi, Patrick",Feedback Evaluation,Good
APT1040,A,"Afundi, Patrick",Feedback Evaluation,good
APT1040,A,"Afundi, Patrick",Feedback Evaluation,good
APT1040,A,"Afundi, Patrick",Feedback Evaluation,Good
APT1040,A,"Afundi, Patrick",Feedback Evaluation,Poor
APT1040,A,"Afundi, Patrick",Feedback Evaluation,Excellent
APT1040,A,"Afundi, Patrick",Feedback Evaluation,Fucking bullshit
APT1040,A,"Afundi, Patrick",Feedback Evaluation,not bad
APT1040,A,"Afundi, Patrick",Feedback Evaluation,Poorly done
APT1040,A,"Afundi, Patrick",Feedback Evaluation,good
APT1040,A,"Afundi, Patrick",Feedback Evaluation,good
APT1040,A,"Afundi, Patrick",Feedback Evaluation,good
APT1040,A,"Afundi, Patrick",Feedback Evaluation,GOOD
APT1040,A,"Afundi, Patrick",Feedback Evaluation,The assignments helped me expand my knowledge and the exams were satisfactory.
APT1040,A,"Afundi, Patrick",Feedback Evaluation,Excellent
APT1040,A,"Afundi, Patrick",Feedback Evaluation,good
APT1040,A,"Afundi, Patrick",Feedback Evaluation,good
APT1040,A,"Afundi, Patrick",Feedback Evaluation,Not good
APT1040,A,"Afundi, Patrick",Feedback Evaluation,good
APT1040,A,"Afundi, Patrick",Feedback Evaluation,on time
APT1040,A,"Afundi, Patrick",Feedback Evaluation,good
APT1040,A,"Afundi, Patrick",Feedback Evaluation,feedback given was beneficial
APT1040,A,"Afundi, Patrick",Feedback Evaluation,not well taught in class
APT1040,A,"Afundi, Patrick",Feedback Evaluation,good
APT1040,A,"Afundi, Patrick",Course Text,Explain your evaluation of the course text. Good
APT1040,A,"Afundi, Patrick",Course Text,The course text was great
APT1040,A,"Afundi, Patrick",Course Text,good
APT1040,A,"Afundi, Patrick",Course Text,nice
APT1040,A,"Afundi, Patrick",Course Text,good
APT1040,A,"Afundi, Patrick",Course Text,None
